SellerCounterOfferValue,,,,
% of difference offer,100%,75%,50%,25%
80,80,80,80,80
60,80,80,80,80
40,80,80,80,80
20,80,80,80,80
,,,,
SellerCounterOfferValueForLowOffer,,,,
% of difference offer,same as above,,,
low offer,100,0,0,0
,,,,
SellerCounterOfferTeamRankModifier,,,,
rank,low % change,high % change,,
1,0,0,,
2,1,1,,
3,2,2,,
4,3,3,,
5,4,4,,
6,5,5,,
7,6,6,,
8,0,0,,
,,,,
SellerCounterOfferPlayerRankModifier,,,,
rank,low % change,high % change,,
1,-5,-5,,
2,-5,0,,
3,-5,0,,
4,-5,0,,
5,-5,0,,
6,-30,30,,
7(excess),-30,-30,,
